Task_ID,Task_Name,Prompt_ID,Prompt_Text,Expected_Output,AI_Model
2,Design Agent Architecture,P2-1,"Design agent class structure for Schrodinger's Fish simulation with attributes for wealthcare, healthcare, and posterity goals","Python class definitions with inheritance hierarchy",Claude-3.5
2,Design Agent Architecture,P2-2,"Create agent state machine for decision-making process including perception, goal prioritization, and action selection","State machine diagram and implementation",GPT-4
2,Design Agent Architecture,P2-3,"Design agent memory system for tracking interactions, relationships, and learned behaviors","Memory management class with persistence",Claude-3.5
3,Implement Playbook System,P3-1,"Create playbook action framework where agents can execute known operations that provide value to others","Action class hierarchy with execution methods",GPT-4
3,Implement Playbook System,P3-2,"Implement value exchange calculation system for measuring reciprocity between agents","Value tracking and calculation algorithms",Claude-3.5
3,Implement Playbook System,P3-3,"Design playbook evolution mechanism where agents learn and adapt their strategies","Learning algorithm with strategy updates",GPT-4
3,Implement Playbook System,P3-4,"Create collaborative project system where multiple agents work together on shared goals","Multi-agent coordination framework",Claude-3.5
4,Build KPI Tracking Engine,P4-1,"Implement wealthcare KPIs including resource stockpile, knowledge capital, and social capital metrics","KPI calculation and tracking system",GPT-4
4,Build KPI Tracking Engine,P4-2,"Create healthcare KPIs for energy level, stress level, resilience, and access to support","Health metric monitoring system",Claude-3.5
4,Build KPI Tracking Engine,P4-3,"Design KPI visualization dashboard for real-time monitoring of agent states","Dashboard with charts and gauges",GPT-4
5,Create Bylaws Rules Engine,P5-1,"Implement rules engine for processing KPIs and triggering consequences based on thresholds","Rules engine with condition evaluation",Claude-3.5
5,Create Bylaws Rules Engine,P5-2,"Create risk detection system that flags potential pathologies from sensor-derived metrics","Risk assessment and alerting system",GPT-4
5,Create Bylaws Rules Engine,P5-3,"Design bylaw adaptation mechanism where rules evolve based on system performance","Adaptive rules with feedback loops",Claude-3.5
7,Implement Value Exchange System,P7-1,"Create value calculation algorithm for measuring contributions between agents in different domains","Multi-dimensional value scoring system",GPT-4
7,Implement Value Exchange System,P7-2,"Implement reciprocity tracking system with moving averages and trust metrics","Reciprocity calculation with history",Claude-3.5
7,Implement Value Exchange System,P7-3,"Design value exchange marketplace where agents can negotiate and trade resources","Trading system with negotiation logic",GPT-4
8,Build Social Pruning Logic,P8-1,"Implement social network pruning algorithm based on value exchange ratios and risk assessments","Network pruning with relationship scoring",Claude-3.5
8,Build Social Pruning Logic,P8-2,"Create relationship evaluation system that considers posterity goals and mutual benefit","Relationship assessment framework",GPT-4
